"Datetime","Shark","T.Ph","Lat","Lon"
2012-10-03 09:50:00,"C25A","M",25.73793,-79.24606
2012-10-03 09:55:00,"C25A","L",25.73694,-79.24573
2012-10-03 10:00:00,"C25A","H",25.7372,-79.24615
2012-10-03 10:10:00,"C25A","M",25.73416,-79.24849
2012-10-03 10:15:00,"C25A","H",25.73305,-79.25111
2012-10-03 10:20:00,"C25A","H",25.73351,-79.24931
2012-10-03 10:25:00,"C25A","M",25.73506,-79.25042
2012-10-03 12:30:00,"C25A","H",25.73615,-79.2489
2012-10-03 12:35:00,"C25A","M",25.73636,-79.25005
2012-10-03 12:40:00,"C25A","H",25.73625,-79.25067
2012-10-03 12:50:00,"C25A","H",25.73585,-79.25197
2012-10-03 13:05:00,"C25A","H",25.73225,-79.25479
2012-10-03 13:10:00,"C25A","H",25.73075,-79.25629
2012-10-03 13:20:00,"C25A","H",25.73022,-79.25713
2012-10-03 13:26:00,"C25A","H",25.73069,-79.25648
2012-10-03 15:07:00,"C25A","H",25.72589,-79.25237
2013-02-11 23:20:00,"C25B","M",25.73466,-79.25018
2013-02-11 23:25:00,"C25B","H",25.73339,-79.2496
2013-02-11 23:30:00,"C25B","M",25.73394,-79.25008
2013-02-11 23:35:00,"C25B","M",25.73372,-79.2493
2013-02-11 23:40:00,"C25B","H",25.7339,-79.25113
2013-02-11 23:59:00,"C25B","H",25.73125,-79.25413
2013-02-12 00:00:00,"C25B","H",25.72466,-79.27052
2013-02-12 00:05:00,"C25B","H",25.727,-79.25407
2013-02-12 00:08:00,"C25B","H",25.73524,-79.25317
2013-02-12 00:13:00,"C25B","M",25.73325,-79.25341
2013-02-12 00:18:00,"C25B","H",25.73217,-79.25311
2013-02-12 00:28:00,"C25B","H",25.73098,-79.25538
2013-02-12 00:45:00,"C25B","H",25.72773,-79.25475
2013-02-12 00:55:00,"C25B","M",25.72753,-79.25462
2013-02-12 01:00:00,"C25B","H",25.72608,-79.25404
2013-02-12 23:42:00,"C25B","M",25.73417,-79.24934
2013-02-12 23:53:00,"C25B","H",25.73483,-79.25038
2013-02-12 23:58:00,"C25B","M",25.73512,-79.25149
2012-10-02 12:38:00,"C69A","M",25.73465,-79.24775
2012-10-02 12:57:00,"C69A","M",25.73574,-79.24864
2012-10-02 13:03:00,"C69A","M",25.73553,-79.24843
2012-10-02 13:09:00,"C69A","M",25.73492,-79.2481
2012-10-02 13:14:00,"C69A","M",25.73499,-79.24849
2012-10-02 13:19:00,"C69A","M",25.73505,-79.2489
2012-10-02 13:25:00,"C69A","M",25.73547,-79.25009
2012-10-02 13:30:00,"C69A","M",25.73536,-79.25059
2012-10-02 13:35:00,"C69A","M",25.73477,-79.24806
2012-10-02 13:46:00,"C69A","M",25.73523,-79.25101
2012-10-02 13:54:00,"C69A","M",25.73513,-79.25023
2012-10-02 13:59:00,"C69A","M",25.7349,-79.24782
2012-10-02 14:05:00,"C69A","M",25.73454,-79.24699
2012-10-02 14:10:00,"C69A","M",25.73433,-79.24669
2012-10-02 14:15:00,"C69A","M",25.73469,-79.24733
2012-10-02 14:20:00,"C69A","M",25.73476,-79.24751
2012-10-02 14:25:00,"C69A","M",25.73447,-79.24718
2012-10-02 14:30:00,"C69A","L",25.73456,-79.24649
2012-10-02 14:35:00,"C69A","L",25.73502,-79.24692
2012-10-02 14:40:00,"C69A","L",25.73417,-79.2461
2012-10-02 14:55:00,"C69A","L",25.73499,-79.24656
2012-10-02 15:00:00,"C69A","L",25.73361,-79.24652
2012-10-02 15:05:00,"C69A","L",25.73423,-79.24701
2012-10-02 15:10:00,"C69A","L",25.7349,-79.24827
2012-10-02 15:15:00,"C69A","L",25.73525,-79.24856
2012-10-02 15:20:00,"C69A","L",25.73543,-79.24879
2012-10-03 15:55:00,"C69A","L",25.73361,-79.248573
2012-10-03 16:00:00,"C69A","L",25.73382,-79.24685
2012-10-03 16:08:00,"C69A","L",25.7315,-79.24804
2012-10-03 16:13:00,"C69A","L",25.73276,-79.24849
2012-10-03 16:18:00,"C69A","L",25.73389,-79.25011
2012-10-03 16:25:00,"C69A","L",25.73345,-79.24987
2012-10-03 16:30:00,"C69A","L",25.73382,-79.25066
2012-10-03 16:42:00,"C69A","L",25.73354,-79.24835
2012-10-03 16:47:00,"C69A","L",25.73244,-79.24659
2012-10-03 16:55:00,"C69A","L",25.73247,-79.24629
2012-10-03 17:05:00,"C69A","L",25.73319,-79.24968
2012-10-03 17:12:00,"C69A","L",25.73411,-79.24934
2012-10-03 17:18:00,"C69A","M",25.73283,-79.24779
2014-03-19 12:28:00,"C69B","H",25.74594,-79.24051
2014-03-19 12:35:00,"C69B","L",25.7446,-79.24097
2014-03-19 12:40:00,"C69B","H",25.7434,-79.24151
2014-03-19 12:50:00,"C69B","H",25.74028,-79.24073
2014-03-19 12:55:00,"C69B","H",25.7371,-79.24019
2014-03-19 13:00:00,"C69B","H",25.73588,-79.24039
2014-03-19 13:05:00,"C69B","H",25.73484,-79.24047
2014-03-19 13:10:00,"C69B","H",25.7373,-79.23966
2014-03-19 13:15:00,"C69B","H",25.73916,-79.24002
2014-03-19 13:20:00,"C69B","H",25.74059,-79.24058
2014-03-19 13:25:00,"C69B","H",25.74242,-79.24077
2014-03-19 13:30:00,"C69B","H",25.74414,-79.24113
2014-03-19 13:37:00,"C69B","H",25.74668,-79.24098
2014-03-19 13:44:00,"C69B","M",25.74717,-79.24143
2014-03-19 13:49:00,"C69B","M",25.74754,-79.24204
2014-03-19 13:54:00,"C69B","M",25.74625,-79.24163
2014-03-19 13:59:00,"C69B","M",25.74505,-79.24107
2014-03-19 14:04:00,"C69B","M",25.74492,-79.24095
2014-03-19 14:09:00,"C69B","M",25.74247,-79.24105
2014-03-19 14:14:00,"C69B","M",25.74001,-79.24031
2014-03-19 14:19:00,"C69B","M",25.73779,-79.23981
2014-03-19 14:28:00,"C69B","M",25.73733,-79.23882
2014-03-19 14:33:00,"C69B","M",25.73803,-79.23919
2014-03-19 14:38:00,"C69B","M",25.74066,-79.24026
2014-03-19 14:43:00,"C69B","M",25.74164,-79.2405
2014-03-19 14:53:00,"C69B","M",25.74589,-79.24033
2014-03-19 14:58:00,"C69B","M",25.74484,-79.24032
2014-03-19 15:03:00,"C69B","M",25.74655,-79.23968
2014-03-19 15:14:00,"C69B","M",25.74919,-79.23902
2014-03-19 15:23:00,"C69B","M",25.74576,-79.23811
2014-03-19 15:28:00,"C69B","M",25.74259,-79.24059
2014-03-19 15:35:00,"C69B","M",25.73992,-79.23937
2014-03-20 13:05:00,"C69B","H",25.73837,-79.23991
2014-03-20 13:10:00,"C69B","H",25.73627,-79.24004
2014-03-20 14:15:00,"C69B","M",25.73015,-79.2511
2014-03-22 13:37:00,"C69B","L",25.73417,-79.25135
2014-03-22 13:42:00,"C69B","H",25.73337,-79.24989
2014-03-22 13:52:00,"C69B","H",25.73417,-79.24921
2014-03-22 13:57:00,"C69B","H",25.73473,-79.25025
2014-03-22 14:02:00,"C69B","H",25.73495,-79.252
2014-03-22 14:07:00,"C69B","H",25.73466,-79.25337
2014-03-22 14:12:00,"C69B","H",25.73439,-79.25185
2014-03-22 14:17:00,"C69B","H",25.73336,-79.2519
2014-03-22 14:22:00,"C69B","H",25.73291,-79.25089
2014-03-22 14:27:00,"C69B","H",25.73261,-79.25111
2014-03-22 14:32:00,"C69B","H",25.73213,-79.25207
2014-03-22 15:00:00,"C69B","H",25.73253,-79.25092
2014-03-22 15:15:00,"C69B","H",25.73284,-79.25146
2014-03-23 11:24:00,"C69B","H",25.7346,-79.24009
2014-03-23 11:29:00,"C69B","H",25.73441,-79.23983
2014-03-23 11:36:00,"C69B","H",25.73501,-79.23986
2014-03-23 11:41:00,"C69B","M",25.73396,-79.24635
2014-03-23 11:46:00,"C69B","L",25.73276,-79.24702
2014-03-23 11:51:00,"C69B","M",25.73133,-79.24173
2014-03-23 11:56:00,"C69B","M",25.7303,-79.24301
2014-03-23 12:01:00,"C69B","M",25.73035,-79.24387
2014-03-23 12:06:00,"C69B","M",25.73084,-79.24313
2014-03-23 12:11:00,"C69B","M",25.73104,-79.24251
2014-03-23 12:16:00,"C69B","M",25.73193,-79.24182
2014-03-23 12:21:00,"C69B","M",25.7328,-79.24131
2014-03-23 12:25:00,"C69B","M",25.73388,-79.24016
2014-03-23 12:31:00,"C69B","M",25.73554,-79.23983
2014-03-23 12:36:00,"C69B","M",25.73774,-79.23971
2014-03-23 12:41:00,"C69B","M",25.73949,-79.24013
2014-03-23 12:46:00,"C69B","M",25.74108,-79.24044
2014-03-23 12:51:00,"C69B","M",25.74201,-79.24072
2014-03-23 12:56:00,"C69B","H",25.74367,-79.24117
2014-03-23 13:01:00,"C69B","H",25.74561,-79.24109
2014-03-23 13:06:00,"C69B","H",25.74648,-79.24128
2014-03-23 13:11:00,"C69B","H",25.74677,-79.24199
2014-03-23 13:16:00,"C69B","H",25.74541,-79.24129
2014-03-23 13:21:00,"C69B","H",25.74457,-79.24089
2014-03-23 13:26:00,"C69B","H",25.74263,-79.24081
2014-03-23 13:30:00,"C69B","H",25.74044,-79.24032
2014-03-23 13:31:00,"C69B","H",25.74119,-79.24043
2014-03-23 13:35:00,"C69B","H",25.73854,-79.23987
2014-03-23 13:40:00,"C69B","H",25.73522,-79.24028
2014-03-23 13:45:00,"C69B","H",25.73303,-79.241
2014-03-23 13:50:00,"C69B","H",25.73093,-79.24274
2014-03-23 13:55:00,"C69B","H",25.73001,-79.24583
2014-03-23 14:08:00,"C69B","L",25.73037,-79.24988
2014-03-23 14:22:00,"C69B","H",25.72911,-79.2544
2014-03-23 15:00:00,"C69B","H",25.73406,-79.25278
2014-03-23 15:08:00,"C69B","H",25.73395,-79.25025
2014-03-23 15:20:00,"C69B","H",25.73415,-79.25122
2013-07-24 13:14:00,"C69C","L",25.73247,-79.24106
2013-07-24 13:20:00,"C69C","L",25.7342,-79.23825
2013-07-24 13:25:00,"C69C","L",25.73475,-79.23832
2013-07-24 13:30:00,"C69C","H",25.73688,-79.23932
2013-07-24 13:35:00,"C69C","L",25.73869,-79.23888
2013-07-24 13:45:00,"C69C","L",25.74115,-79.23855
2013-07-24 13:50:00,"C69C","L",25.74157,-79.23909
2013-07-24 14:01:00,"C69C","L",25.74059,-79.23828
2013-07-24 14:05:00,"C69C","L",25.74043,-79.23911
2013-07-24 14:11:00,"C69C","L",25.74232,-79.24039
2013-07-24 14:17:00,"C69C","L",25.7445,-79.24011
2013-07-24 14:22:00,"C69C","L",25.74592,-79.24002
2013-07-24 14:27:00,"C69C","L",25.74662,-79.23949
2013-07-24 14:32:00,"C69C","L",25.74637,-79.23982
2013-07-24 14:38:00,"C69C","L",25.74603,-79.23966
2013-07-24 14:49:00,"C69C","L",25.74462,-79.2397
2013-07-24 14:55:00,"C69C","L",25.74416,-79.23978
2013-07-24 15:01:00,"C69C","L",25.7449,-79.2382
2013-07-24 15:06:00,"C69C","L",25.74417,-79.23792
2013-07-24 15:08:00,"C69C","L",25.74448,-79.2381
2013-07-24 15:13:00,"C69C","L",25.74444,-79.2374
2013-07-24 15:18:00,"C69C","M",25.74507,-79.23813
2013-07-24 15:23:00,"C69C","H",25.7446,-79.23777
2013-07-24 15:28:00,"C69C","L",25.74389,-79.23799
2013-07-24 15:33:00,"C69C","L",25.74276,-79.23733
2013-07-24 15:38:00,"C69C","L",25.74191,-79.23818
2013-07-24 15:45:00,"C69C","L",25.74252,-79.23734
2013-07-24 15:52:00,"C69C","L",25.74198,-79.23647
2013-07-24 15:58:00,"C69C","L",25.74074,-79.23612
2013-07-24 16:05:00,"C69C","L",25.74087,-79.23652
2013-07-24 16:11:00,"C69C","M",25.7423,-79.23755
2013-07-24 16:18:00,"C69C","M",25.74312,-79.23787
2013-07-24 16:24:00,"C69C","M",25.74527,-79.23905
2013-07-24 16:31:00,"C69C","M",25.74587,-79.23899
2013-07-24 16:36:00,"C69C","L",25.74507,-79.23857
2013-07-24 16:42:00,"C69C","M",25.74402,-79.23809
2013-07-24 16:47:00,"C69C","M",25.74271,-79.23714
2013-07-24 16:52:00,"C69C","M",25.74177,-79.23672
2013-07-24 16:57:00,"C69C","M",25.74088,-79.23665
2013-07-25 12:59:00,"C69C","L",25.74194,-79.23978
2013-07-25 13:06:00,"C69C","L",25.74327,-79.24101
2013-07-25 13:12:00,"C69C","L",25.74472,-79.2408
2013-07-25 13:15:00,"C69C","L",25.74499,-79.24101
2013-07-25 13:20:00,"C69C","L",25.74521,-79.24063
2013-07-25 13:26:00,"C69C","L",25.74698,-79.24017
2013-07-25 13:31:00,"C69C","L",25.74801,-79.24056
2013-07-25 13:36:00,"C69C","L",25.7488,-79.2422
2013-07-25 13:41:00,"C69C","L",25.74837,-79.24087
2013-07-25 13:50:00,"C69C","L",25.74902,-79.24124
2013-07-25 13:55:00,"C69C","L",25.75047,-79.24207
2013-07-25 14:01:00,"C69C","L",25.75232,-79.24247
2013-07-25 14:06:00,"C69C","L",25.75357,-79.2431
2013-07-25 14:11:00,"C69C","L",25.75529,-79.24392
2013-07-25 14:16:00,"C69C","L",25.75592,-79.24384
2013-07-25 14:21:00,"C69C","L",25.75669,-79.24444
2013-07-25 14:26:00,"C69C","L",25.75824,-79.24473
2013-07-25 14:31:00,"C69C","L",25.76082,-79.24585
2013-07-25 14:36:00,"C69C","L",25.76071,-79.24551
2013-07-25 14:41:00,"C69C","L",25.76927,-79.2446
2013-07-25 14:51:00,"C69C","L",25.75739,-79.24426
2013-07-25 14:56:00,"C69C","L",25.75576,-79.24392
2013-07-25 15:01:00,"C69C","L",25.75424,-79.24325
2013-07-25 15:06:00,"C69C","L",25.75293,-79.24301
2013-07-25 15:11:00,"C69C","L",25.75172,-79.24233
2013-07-25 15:16:00,"C69C","L",25.75046,-79.24179
2013-07-25 15:21:00,"C69C","L",25.74913,-79.24092
2013-07-25 15:26:00,"C69C","L",25.7476,-79.23943
2013-07-25 15:32:00,"C69C","L",25.74677,-79.24
2013-07-25 15:38:00,"C69C","L",25.7454,-79.24032
2013-07-25 15:40:00,"C69C","L",25.74512,-79.24048
2013-07-25 15:46:00,"C69C","L",25.74433,-79.23907
2013-07-25 15:51:00,"C69C","L",25.74322,-79.23907
2013-07-25 15:56:00,"C69C","L",25.74253,-79.23828
2013-07-25 16:01:00,"C69C","L",25.7417,-79.23817
2013-07-25 16:07:00,"C69C","L",25.74088,-79.23816
2013-07-25 16:13:00,"C69C","L",25.73983,-79.23888
2013-07-25 16:21:00,"C69C","L",25.74013,-79.23806
2013-07-25 16:26:00,"C69C","L",25.73933,-79.23868
2013-07-25 16:31:00,"C69C","L",25.73978,-79.23907
2013-07-25 16:36:00,"C69C","L",25.74107,-79.23901
2013-07-25 16:41:00,"C69C","L",25.7417,-79.23778
2013-07-25 16:46:00,"C69C","L",25.74153,-79.23643
2013-07-25 16:51:00,"C69C","L",25.7409,-79.23648
2013-07-25 16:56:00,"C69C","L",25.73598,-79.23631
2013-07-25 17:00:00,"C69C","L",25.74058,-79.23672
2013-07-26 14:50:00,"C69C","L",25.7422,-79.24057
2013-07-26 14:56:00,"C69C","L",25.74094,-79.23983
2013-07-26 15:00:00,"C69C","L",25.74013,-79.23931
2013-07-26 15:05:00,"C69C","L",25.73826,-79.23955
2013-07-26 15:10:00,"C69C","L",25.73696,-79.23822
2013-07-26 15:15:00,"C69C","L",25.7365,-79.23983
2013-07-27 11:20:00,"C69C","L",25.73963,-79.24051
2013-07-27 11:27:00,"C69C","H",25.73988,-79.24044
2013-07-27 11:33:00,"C69C","H",25.74187,-79.2409
2013-07-27 11:37:00,"C69C","H",25.74355,-79.24097
2013-07-27 11:41:00,"C69C","H",25.74318,-79.24093
2013-07-27 11:46:00,"C69C","H",25.74192,-79.2406
2013-07-27 11:51:00,"C69C","H",25.74013,-79.2402
2013-07-27 11:56:00,"C69C","H",25.73866,-79.2398
2013-07-27 12:01:00,"C69C","M",25.73699,-79.2397
2013-07-27 12:06:00,"C69C","M",25.73564,-79.24012
2013-07-27 12:11:00,"C69C","H",25.73375,-79.24062
2013-07-27 12:16:00,"C69C","M",25.73278,-79.24103
2013-07-27 12:21:00,"C69C","M",25.73256,-79.24128
2013-07-27 12:26:00,"C69C","L",25.73358,-79.24081
2013-07-27 12:31:00,"C69C","M",25.73293,-79.24091
2013-07-27 12:36:00,"C69C","M",25.73243,-79.2411
2013-07-27 12:46:00,"C69C","M",25.73071,-79.24288
2013-07-27 12:52:00,"C69C","M",25.73058,-79.24342
2013-07-27 12:58:00,"C69C","M",25.72994,-79.24665
2013-07-28 10:43:00,"C69C","M",25.73535,-79.23899
2013-07-28 10:48:00,"C69C","H",25.73573,-79.23801
2013-07-28 10:58:00,"C69C","H",25.73304,-79.23836
2013-07-28 11:03:00,"C69C","H",25.73098,-79.23776
2013-07-28 11:09:00,"C69C","H",25.73154,-79.23914
2013-07-28 11:31:00,"C69C","H",25.72539,-79.24489
2013-07-28 11:39:00,"C69C","H",25.72695,-79.24743
2013-07-28 11:43:00,"C69C","H",25.72553,-79.24915
2013-07-28 11:48:00,"C69C","H",25.72486,-79.2505
2013-07-28 11:53:00,"C69C","H",25.72373,-79.25319
2013-07-28 11:59:00,"C69C","H",25.72461,-79.25466
2013-07-28 12:04:00,"C69C","H",25.72604,-79.25684
2013-07-28 12:09:00,"C69C","H",25.72625,-79.25796
2013-07-28 12:14:00,"C69C","H",25.72509,-79.25943
2013-07-28 12:19:00,"C69C","H",25.72371,-79.26125
2013-07-28 12:26:00,"C69C","H",25.72512,-79.26279
2013-07-28 12:36:00,"C69C","H",25.72565,-79.26489
2013-07-28 12:41:00,"C69C","H",25.72619,-79.26617
2013-07-28 12:46:00,"C69C","H",25.72702,-79.26716
2013-07-28 12:51:00,"C69C","M",25.72711,-79.26888
2013-07-28 12:56:00,"C69C","M",25.72779,-79.27152
2013-07-28 13:21:00,"C69C","M",25.72687,-79.26701
2013-07-28 13:26:00,"C69C","M",25.72707,-79.26385
2013-07-28 13:33:00,"C69C","M",25.72809,-79.25965
2013-07-28 13:43:00,"C69C","M",25.73071,-79.25649
2013-07-28 13:49:00,"C69C","M",25.73168,-79.25488
2013-07-28 13:54:00,"C69C","M",25.73257,-79.25472
2013-07-28 13:59:00,"C69C","M",25.7323,-79.25375
2013-07-28 14:04:00,"C69C","H",25.73291,-79.2522
2013-07-28 14:17:00,"C69C","M",25.73379,-79.24927
2013-07-28 14:25:00,"C69C","M",25.73452,-79.24842
2013-07-28 14:30:00,"C69C","M",25.73566,-79.24709
2013-07-28 14:38:00,"C69C","M",25.7353,-79.24739
2013-07-28 14:43:00,"C69C","M",25.73482,-79.24858
2013-07-28 14:48:00,"C69C","M",25.73422,-79.25079
2013-07-28 14:53:00,"C69C","L",25.73355,-79.25009
2013-07-28 14:58:00,"C69C","L",25.73372,-79.25102
2013-07-28 15:03:00,"C69C","M",25.73358,-79.25194
2013-07-28 15:08:00,"C69C","L",25.73276,-79.25311
2013-07-28 15:13:00,"C69C","L",25.73152,-79.25333
2013-07-28 15:19:00,"C69C","L",25.72908,-79.25359
2013-07-28 15:24:00,"C69C","L",25.72883,-79.25407
2013-07-28 15:29:00,"C69C","L",25.72747,-79.25402
2013-07-28 15:34:00,"C69C","L",25.72696,-79.25444
2013-07-28 15:41:00,"C69C","L",25.72012,-79.25647
2013-07-28 15:46:00,"C69C","L",25.72803,-79.25656
2013-07-28 15:51:00,"C69C","L",25.72634,-79.25747
2013-07-28 15:56:00,"C69C","L",25.72543,-79.25867
2013-07-28 16:01:00,"C69C","L",25.72551,-79.25972
2013-07-28 16:03:00,"C69C","L",25.72497,-79.25862
2012-07-29 21:03:00,"D40","H",25.73794,-79.24576
2012-07-29 21:08:00,"D40","H",25.73746,-79.24537
2012-07-29 21:13:00,"D40","H",25.73703,-79.24429
2012-07-29 21:19:00,"D40","M",25.73742,-79.24551
2012-07-29 21:24:00,"D40","M",25.73763,-79.24516
2012-07-29 21:31:00,"D40","M",25.73804,-79.246
2012-07-30 00:28:00,"D40","M",25.73632,-79.2471
2012-07-30 02:26:00,"D40","L",25.72979,-79.2502
2012-07-30 02:41:00,"D40","L",25.72991,-79.2503
2012-07-30 03:11:00,"D40","M",25.73054,-79.24924
2012-07-30 09:04:00,"D40","H",25.73714,-79.24552
2012-07-30 09:35:00,"D40","M",25.73714,-79.25572
2012-07-30 09:45:00,"D40","M",25.73699,-79.24582
2012-07-30 09:51:00,"D40","M",25.73711,-79.24551
2012-07-30 09:56:00,"D40","M",25.73703,-79.24556
2012-07-30 14:55:00,"D40","M",25.72905,-79.25126
2012-07-30 15:23:00,"D40","M",25.72809,-79.25138
2012-07-31 00:10:00,"D40","H",25.73704,-79.24527
2012-07-31 00:15:00,"D40","M",25.73699,-79.24497
2012-07-31 09:03:00,"D40","H",25.73702,-79.24534
2012-07-31 09:04:00,"D40","M",25.73699,-79.24534
2012-07-31 09:05:00,"D40","M",25.73704,-79.24529
2012-07-31 09:09:00,"D40","M",25.73682,-79.2455
2012-07-31 09:25:00,"D40","H",25.73699,-79.24534
2012-07-31 09:35:00,"D40","H",25.73699,-79.2453
2012-07-31 09:55:00,"D40","H",25.73704,-79.24539
2012-07-31 10:00:00,"D40","H",25.73699,-79.24534
2012-07-31 10:04:00,"D40","H",25.73682,-79.2452
2012-07-31 10:12:00,"D40","M",25.73701,-79.24544
2012-07-31 10:17:00,"D40","L",25.73702,-79.24544
2012-07-31 10:23:00,"D40","H",25.73704,-79.24544
2012-07-31 10:28:00,"D40","M",25.73706,-79.24539
2012-07-31 10:33:00,"D40","H",25.73697,-79.24525
2012-07-31 10:46:00,"D40","M",25.73691,-79.24538
2012-07-31 10:57:00,"D40","M",25.73683,-79.24535
2012-07-31 11:13:00,"D40","M",25.73748,-79.24586
2012-07-31 11:17:00,"D40","M",25.73716,-79.24559
2012-07-31 11:27:00,"D40","M",25.73682,-79.24554
2012-07-31 11:32:00,"D40","M",25.73664,-79.24586
2012-07-31 11:37:00,"D40","M",25.73581,-79.2476
2012-07-31 11:43:00,"D40","M",25.73558,-79.24697
2012-07-31 13:23:00,"D40","L",25.73035,-79.25043
2012-07-31 13:28:00,"D40","L",25.73062,-79.25033
2012-07-31 13:52:00,"D40","L",25.73027,-79.25017
2012-07-31 13:58:00,"D40","L",25.73048,-79.25
2012-07-31 15:02:00,"D40","L",25.73039,-79.2501
2012-07-31 15:04:00,"D40","L",25.73022,-79.2502
2012-07-31 15:05:00,"D40","L",25.73031,-79.25016
2012-07-31 15:16:00,"D40","L",25.73048,-79.25021
2012-07-31 15:25:00,"D40","L",25.7304,-79.25004
2012-07-31 15:29:00,"D40","L",25.73041,-79.25012
2012-07-31 15:34:00,"D40","L",25.73048,-79.2501
2012-07-31 15:45:00,"D40","H",25.73042,-79.25007
2012-07-31 15:54:00,"D40","L",25.73034,-79.25073
2012-08-01 01:34:00,"D40","M",25.73817,-79.24522
2012-08-01 01:40:00,"D40","L",25.73777,-79.24557
2012-08-01 01:46:00,"D40","M",25.737,-79.24849
2012-08-01 01:51:00,"D40","L",25.73616,-79.24909
2012-08-01 14:14:00,"D40","M",25.73068,-79.25025
2012-08-02 15:52:00,"D40","L",25.73003,-79.24994
2014-09-03 16:00:00,"E07","H",25.72485,-79.24218
2014-09-03 16:05:00,"E07","H",25.72718,-79.24684
2014-09-03 16:10:00,"E07","H",25.72697,-79.24568
2014-09-03 16:15:00,"E07","H",25.72614,-79.24532
2014-09-03 16:20:00,"E07","H",25.72503,-79.24548
2014-09-03 16:25:00,"E07","H",25.72415,-79.24707
2014-09-03 16:30:00,"E07","H",25.72268,-79.24888
2014-09-03 16:35:00,"E07","H",25.72212,-79.25004
2014-09-03 16:40:00,"E07","H",25.72172,-79.25129
2014-09-03 16:45:00,"E07","H",25.72188,-79.2539
2014-09-03 16:50:00,"E07","L",25.72095,-79.25578
2014-09-03 16:55:00,"E07","H",25.72132,-79.25695
2014-09-03 17:00:00,"E07","H",25.7217,-79.25806
2014-09-03 17:05:00,"E07","H",25.72298,-79.25995
2014-09-03 17:10:00,"E07","H",25.72443,-79.2626
2014-09-03 17:15:00,"E07","H",25.7247,-79.26233
2014-09-03 17:20:00,"E07","H",25.72418,-79.26296
2014-09-03 17:25:00,"E07","H",25.72455,-79.26445
2014-09-03 17:30:00,"E07","H",25.72598,-79.26714
2014-09-03 17:35:00,"E07","H",25.72685,-79.26833
2014-09-03 17:40:00,"E07","H",25.72679,-79.26745
2014-09-03 17:45:00,"E07","H",25.72695,-79.26449
2014-09-03 17:50:00,"E07","H",25.72697,-79.26588
2014-09-03 17:55:00,"E07","H",25.72673,-79.26466
2014-09-04 00:00:00,"E07","H",25.7366,-79.23607
2014-09-04 00:05:00,"E07","H",25.73775,-79.23598
2014-09-04 00:10:00,"E07","H",25.7392,-79.23666
2014-09-04 00:15:00,"E07","H",25.74089,-79.2369
2014-09-04 00:20:00,"E07","H",25.74193,-79.23735
2014-09-04 00:25:00,"E07","H",25.74114,-79.23928
2014-09-04 00:35:00,"E07","M",25.74095,-79.23963
2014-09-04 00:40:00,"E07","M",25.74184,-79.24013
2014-09-04 00:45:00,"E07","M",25.74404,-79.24105
2014-09-04 00:50:00,"E07","M",25.74494,-79.2401
2014-09-04 00:55:00,"E07","M",25.74628,-79.23997
2014-09-04 01:00:00,"E07","M",25.74762,-79.24003
2014-09-04 01:05:00,"E07","M",25.74804,-79.24109
2014-09-04 01:10:00,"E07","M",25.74843,-79.2417
2014-09-04 01:20:00,"E07","M",25.74904,-79.24108
2014-09-04 01:25:00,"E07","M",25.74968,-79.24167
2014-09-04 01:30:00,"E07","M",25.7504,-79.24168
2014-09-04 01:35:00,"E07","M",25.75045,-79.24201
2014-09-04 01:40:00,"E07","M",25.75188,-79.24231
2014-09-04 01:45:00,"E07","M",25.75135,-79.24269
2014-09-04 01:50:00,"E07","M",25.74964,-79.24212
2014-09-04 01:55:00,"E07","M",25.75001,-79.24089
2014-09-04 02:00:00,"E07","M",25.7503,-79.24159
2014-09-04 02:10:00,"E07","M",25.74974,-79.2414
2014-09-04 02:32:00,"E07","M",25.74258,-79.24065
2014-09-04 02:37:00,"E07","M",25.7404,-79.24039
2014-09-04 02:42:00,"E07","M",25.73838,-79.2398
2014-09-04 02:47:00,"E07","M",25.73573,-79.23992
2014-09-04 02:52:00,"E07","M",25.734,-79.23984
2014-09-04 14:38:00,"E07","M",25.73074,-79.25633
2014-09-04 14:44:00,"E07","M",25.73124,-79.25633
2014-09-04 14:49:00,"E07","M",25.73174,-79.25418
2014-09-04 14:59:00,"E07","M",25.72923,-79.25642
